博客园Logo
首页
新闻
博问
专区
闪存
班级
代码改变世界
搜索
注册
登录
ImProgrammer
新随笔
管理
随笔 - 1333  文章 - 0  评论 - 0  阅读 - 308万
JLINKARM.DLL < JLINKARM.PAS/H >
复制代码
unit jlinkarm;

interface

uses
  SysUtils, Windows;

(* 
RegIndex    RegName

0           R0
1           R1   
2           R2   
3           R3   
4           R4   
5           R5   
6           R6 
7           R7 
8           R8 
9           R9 
10          R10
11          R11
12          R12
13          R13
14          R14
15          R15

16          XPSR
17          MSP
18          PSP
19          RAZ
20          CFBP
21          APSR
22          EPSR
23          IPSR
24          PRIMASK
25          BASEPRI
26          FAULTMASK
27          CONTROL 
28          BASEPRI_MAX
29          IAPSR
30          EAPSR
31          IEPSR

32          FPSCR
33          FPS0
34          FPS1
35          FPS2
36          FPS3
37          FPS4
38          FPS5
39          FPS6
40          FPS7       
41          FPS8      
42          FPS9      
43          FPS10      
44          FPS11      
45          FPS12      
46          FPS13      
47          FPS14  
48          FPS15
49          FPS16
50          FPS17
51          FPS18
52          FPS19
53          FPS20
54          FPS21
55          FPS22
56          FPS23
57          FPS24
58          FPS25
59          FPS26
60          FPS27
61          FPS28
62          FPS29
63          FPS30
64          FPS31
*)


const CM3_Registers :  array[0..64] of string = 
(
  '         CM3_R0',
  '         CM3_R1',
  '         CM3_R2',
  '         CM3_R3',
  '         CM3_R4',
  '         CM3_R5',
  '         CM3_R6',
  '         CM3_R7',
  '         CM3_R8',
  '         CM3_R9',
  '        CM3_R10',
  '        CM3_R11',
  '        CM3_R12',
  '        CM3_R13',
  '        CM3_R14',
  '        CM3_R15',
  '       CM3_XPSR',
  '        CM3_MSP',
  '        CM3_PSP',
  '        CM3_RAZ',
  '       CM3_CFBP',
  '       CM3_APSR',
  '       CM3_EPSR',
  '       CM3_IPSR',
  '    CM3_PRIMASK',
  '    CM3_BASEPRI',
  '  CM3_FAULTMASK',
  '    CM3_CONTROL',
  'CM3_BASEPRI_MAX',
  '      CM3_IAPSR',
  '      CM3_EAPSR',
  '      CM3_IEPSR',
  '      CM3_FPSCR',
  '       CM3_FPS0',
  '       CM3_FPS1',
  '       CM3_FPS2',
  '       CM3_FPS3',
  '       CM3_FPS4',
  '       CM3_FPS5',
  '       CM3_FPS6',
  '       CM3_FPS7',
  '       CM3_FPS8',
  '       CM3_FPS9',
  '      CM3_FPS10',
  '      CM3_FPS11',
  '      CM3_FPS12',
  '      CM3_FPS13',
  '      CM3_FPS14',
  '      CM3_FPS15',
  '      CM3_FPS16',
  '      CM3_FPS17',
  '      CM3_FPS18',
  '      CM3_FPS19',
